id,SalePrice
1461,119615.22033567316
1462,152120.3529829887
1463,181875.5207511187
1464,195300.11579711616
1465,197045.6726178066
1466,170355.12451668986
1467,177030.55443492328
1468,160540.91990988847
1469,192973.10266630462
1470,119626.69984614015
1471,188238.03558204797
1472,96704.0637984608
1473,95350.3004392283
1474,145948.54322949698
1475,112706.26875454038
1476,360688.9165478685
1477,248722.39424869017
1478,294711.9317467016
1479,297714.09300504904
1480,468716.5044232094
1481,324418.44240643573
1482,209774.93488842642
1483,176073.3590307091
1484,161495.94313230508
1485,190059.13905638503
1486,192251.35946692375
1487,338863.6059973356
1488,237759.1858023419
1489,193604.49719113304
1490,229804.9606931718
1491,193080.73300433956
1492,92387.37406665865
1493,187924.42527987037
1494,298068.0257195562
1495,293505.8379887478
1496,234246.49228685317
1497,180325.33269537805
1498,166957.1742168135
1499,161766.55959369426
1500,152341.72324684073
1501,173823.3041825243
1502,144866.49530824125
1503,286579.3971166026
1504,240901.36067788338
1505,224265.91269881415
1506,187402.5487409636
1507,244175.76523020677
1508,203266.39783608378
1509,163655.0201298349
1510,142847.80116447632
1511,147238.643959177
1512,174760.29275956878
1513,151180.60344281615
1514,154927.50575990364
1515,197965.41127005508
1516,157915.18814065558
1517,167732.64147080207
1518,131966.29737620841
1519,206947.6861075701
1520,126854.91189705393
1521,129469.5647369578
1522,177783.58945634763
1523,110211.36463280197
1524,125651.75485119919
1525,119464.6434174402
1526,112938.79035079785
1527,107561.05428002562
1528,137311.0664798888
1529,148788.2277400705
1530,182755.56519993214
1531,104490.63347415849
1532,97755.57395973375
1533,142435.2014617355
1534,126130.79405246067
1535,146235.92402852792
1536,106483.0676069717
1537,64608.076030910815
1538,146982.75186647827
1539,192811.4800073734
1540,93015.93818894739
1541,137813.45888855786
1542,138492.2460810911
1543,188358.0758784026
1544,84555.54250984752
1545,114693.20831570844
1546,134431.2146595589
1547,126662.28135318971
1548,138063.17027251766
1549,119369.22603602367
1550,135223.00665260636
1551,107976.04345558089
1552,134425.95009769138
1553,147003.3792590177
1554,116268.14989861206
1555,158618.0291562361
1556,85298.64682862358
1557,104765.22677615542
1558,96733.55093008674
1559,63508.33500663925
1560,134146.62256619905
1561,129089.01460251285
1562,129384.73348345813
1563,117580.6501398853
1564,154928.804951208
1565,149912.67775844072
1566,238041.49405596592
1567,76036.06889818187
1568,228852.98681829608
1569,126870.35853871965
1570,137724.04534057947
1571,121836.03425378718
1572,141696.21502297325
1573,235359.3209185735
1574,118094.32755418087
1575,227455.3091504061
1576,240111.91326432832
1577,180612.345440361
1578,148541.69537405434
1579,143700.70154371666
1580,195594.32351120835
1581,151967.99427367584
1582,125022.83591658337
1583,294361.11629732465
